Date,DNET,GOTO,SE
2022-04-11,3180.0,376.0,108.580002
2022-04-18,3150.0,340.0,87.620003
2022-04-25,3200.0,272.0,82.760002
2022-05-02,3200.0,272.0,76.199997
2022-05-09,3180.0,194.0,75.400002
2022-05-16,3200.0,304.0,79.660004
2022-05-23,3200.0,312.0,82.860001
2022-05-30,3220.0,354.0,78.760002
2022-06-06,3180.0,386.0,76.279999
2022-06-13,3250.0,366.0,70.199997
2022-06-20,3300.0,392.0,80.470001
2022-06-27,3340.0,370.0,69.059998
2022-07-04,3350.0,350.0,77.519997
2022-07-11,3400.0,320.0,69.150002
2022-07-18,3980.0,308.0,77.32
2022-07-25,3680.0,296.0,76.32
2022-08-01,3730.0,296.0,87.57
2022-08-08,3700.0,292.0,88.709999
2022-08-15,3700.0,334.0,67.669998
2022-08-22,3730.0,318.0,63.82
2022-08-29,3750.0,284.0,59.93
2022-09-05,3740.0,282.0,63.470001
2022-09-12,3680.0,248.0,59.009998
2022-09-19,3630.0,264.0,53.810001
2022-09-26,3710.0,246.0,56.049999
2022-10-03,3700.0,244.0,60.049999
2022-10-10,3720.0,202.0,51.07
2022-10-17,3700.0,200.0,46.18
2022-10-24,3730.0,189.0,49.540001
2022-10-31,3750.0,200.0,44.009998
2022-11-07,3720.0,210.0,49.43
2022-11-14,3730.0,222.0,56.939999
2022-11-21,3740.0,185.0,54.32
2022-11-28,3730.0,132.0,61.380001
2022-12-05,3750.0,93.0,60.650002
2022-12-12,3850.0,96.0,53.689999
2022-12-19,4040.0,86.0,49.919998
2022-12-26,4140.0,91.0,52.029999
2023-01-02,4120.0,95.0,55.689999
2023-01-09,4070.0,105.0,60.119999
2023-01-16,4100.0,114.0,65.860001
2023-01-23,4200.0,117.0,68.550003
2023-01-30,4090.0,124.0,70.470001
2023-02-06,4000.0,105.0,64.0
2023-02-13,3950.0,125.0,65.010002
2023-02-20,3990.0,120.0,60.009998
2023-02-27,3970.0,124.0,65.669998
2023-03-06,3990.0,125.0,73.449997
2023-03-13,4000.0,116.0,78.400002
2023-03-20,4000.0,115.0,82.379997
2023-03-27,4000.0,109.0,86.550003
2023-04-03,3990.0,101.0,84.080002
2023-04-10,4000.0,92.0,83.519997
2023-04-17,4000.0,95.0,79.169998
2023-04-24,4000.0,104.0,76.169998
2023-05-01,4000.0,106.0,78.410004
2023-05-08,3990.0,116.0,84.769997
2023-05-15,4010.0,115.0,69.440002
2023-05-22,4000.0,104.0,60.119999
2023-05-29,4000.0,147.0,59.389999
2023-06-05,3990.0,127.0,63.380001
2023-06-12,4000.0,117.0,62.080002
2023-06-19,4000.0,113.0,58.91
2023-06-26,4200.0,110.0,58.040001
2023-07-03,4080.0,108.0,54.98
2023-07-10,4080.0,113.0,62.5
2023-07-17,4110.0,113.0,61.18
2023-07-24,4300.0,111.0,63.720001
2023-07-31,4340.0,108.0,59.439999
2023-08-07,4280.0,91.0,57.619999
2023-08-14,4380.0,92.0,38.68
2023-08-21,4500.0,84.0,36.169998
2023-08-28,4580.0,95.0,38.52
2023-09-04,4410.0,93.0,38.25
2023-09-11,4310.0,92.0,39.279999
2023-09-18,4570.0,87.0,35.959999
2023-09-25,4690.0,85.0,43.950001
2023-10-02,4590.0,84.0,42.41
2023-10-09,4600.0,67.0,45.57
2023-10-16,4500.0,60.0,44.610001
2023-10-23,4500.0,56.0,39.970001
2023-10-30,4680.0,70.0,44.790001
2023-11-06,4520.0,76.0,45.48
2023-11-13,4600.0,84.0,37.57
2023-11-20,4580.0,94.0,36.380001
2023-11-27,4630.0,109.0,37.48
2023-12-04,4580.0,108.0,40.0
2023-12-11,4670.0,93.0,35.740002
2023-12-18,4750.0,86.0,38.580002
2023-12-25,4700.0,86.0,40.5
2024-01-01,4610.0,86.0,37.91
2024-01-08,4600.0,91.0,35.889999
2024-01-15,4660.0,86.0,36.400002
2024-01-22,4580.0,82.0,39.57
2024-01-29,4600.0,90.0,42.02
2024-02-05,4540.0,84.0,43.509998
2024-02-12,4470.0,83.0,44.990002
2024-02-19,4480.0,79.0,45.02
2024-02-26,4650.0,69.0,51.049999
2024-03-04,4590.0,70.0,57.720001
2024-03-11,4500.0,71.0,58.130001
2024-03-18,4590.0,68.0,54.470001
2024-03-25,4700.0,69.0,53.709999
2024-04-01,4550.0,68.0,55.279999
2024-04-08,4550.0,,53.279999
2024-04-15,4620.0,59.0,55.060001
2024-04-22,4720.0,61.0,62.860001
2024-04-29,4620.0,66.0,66.660004
2024-05-06,4690.0,67.0,64.910004
2024-05-13,4700.0,66.0,73.760002
2024-05-20,4690.0,66.0,71.980003
2024-05-27,4900.0,65.0,67.519997
2024-06-03,4970.0,58.0,72.470001
2024-06-10,4860.0,52.0,74.419998
2024-06-14,4860.0,52.0,74.419998
